"ID","START_DATE","END_DATE"
423879,"31-01-1997 00:00:00","30-04-1998 00:00:00"
424217,"31-08-2021 00:00:00","29-02-2024 00:00:00"
425345,"31-07-1996 00:00:00","30-09-1998 00:00:00"
427390,"30-11-2009 00:00:00","30-11-2009 00:00:00"
437138,"31-01-1996 00:00:00","31-01-2008 00:00:00"
438304,"31-05-1991 00:00:00","31-05-1991 00:00:00"
438695,"30-09-2013 00:00:00","30-09-2013 00:00:00"
441011,"30-11-2012 00:00:00","31-12-2020 00:00:00"
441373,"30-11-1999 00:00:00","30-11-1999 00:00:00"
443891,"30-04-2001 00:00:00","31-01-2004 00:00:00"
445032,"31-05-1998 00:00:00","31-03-1999 00:00:00"
435388,"31-12-2022 00:00:00","31-12-2022 00:00:00"
421090,"31-10-2002 00:00:00","31-07-2008 00:00:00"
541879,"30-06-1997 00:00:00","31-03-2022 00:00:00"
543338,"30-11-2003 00:00:00","30-11-2003 00:00:00"
545693,"30-11-2001 00:00:00","30-04-2012 00:00:00"
422493,"31-12-2004 00:00:00","30-09-2013 00:00:00"
426592,"31-12-2010 00:00:00","31-08-2015 00:00:00"
426852,"31-05-2006 00:00:00","30-11-2020 00:00:00"
427859,"28-02-1990 00:00:00","28-02-1990 00:00:00"
427865,"31-12-1941 00:00:00","31-12-1960 00:00:00"
429413,"31-03-2003 00:00:00","31-10-2010 00:00:00"
430298,"31-01-2016 00:00:00","31-12-2022 00:00:00"
440885,"31-12-2010 00:00:00","31-03-2024 00:00:00"
430917,"30-06-1990 00:00:00","31-08-2020 00:00:00"
431560,"28-02-2001 00:00:00","31-12-2001 00:00:00"
431947,"30-09-2012 00:00:00","30-06-2024 00:00:00"
434595,"29-02-2012 00:00:00","31-07-2022 00:00:00"
435131,"30-09-2002 00:00:00","30-11-2011 00:00:00"
421140,"30-09-1999 00:00:00","30-09-1999 00:00:00"
465928,"30-04-1996 00:00:00","31-12-2018 00:00:00"
521489,"30-06-1974 00:00:00","31-12-2015 00:00:00"
542393,"31-01-1980 00:00:00","31-12-1985 00:00:00"
545694,"30-04-2004 00:00:00","31-12-2016 00:00:00"
423144,"29-02-2012 00:00:00","31-05-2021 00:00:00"
424744,"31-01-1961 00:00:00","30-09-2024 00:00:00"
425114,"30-09-2008 00:00:00","30-09-2008 00:00:00"
427387,"31-03-1998 00:00:00","30-06-1998 00:00:00"
429827,"30-04-1996 00:00:00","30-04-1996 00:00:00"
436697,"30-06-2004 00:00:00","31-10-2021 00:00:00"
437158,"30-11-2001 00:00:00","30-11-2001 00:00:00"
442525,"31-01-2000 00:00:00","30-04-2008 00:00:00"
443365,"31-12-2008 00:00:00","31-12-2015 00:00:00"
444990,"31-01-2013 00:00:00","30-09-2022 00:00:00"
445031,"30-06-2020 00:00:00","31-07-2020 00:00:00"
432811,"31-01-2008 00:00:00","30-11-2013 00:00:00"
435090,"31-12-2006 00:00:00","30-09-2020 00:00:00"
464108,"31-01-1997 00:00:00","30-09-2010 00:00:00"
464109,"31-05-2007 00:00:00","30-11-2011 00:00:00"
464761,"31-03-2001 00:00:00","30-09-2005 00:00:00"
541878,"31-01-1997 00:00:00","31-12-2015 00:00:00"
542723,"31-12-2011 00:00:00","31-01-2012 00:00:00"
422091,"30-04-2012 00:00:00","31-01-2020 00:00:00"
423008,"31-05-2003 00:00:00","31-05-2003 00:00:00"
424961,"31-01-1961 00:00:00","30-09-2024 00:00:00"
425000,"31-10-1996 00:00:00","30-11-2001 00:00:00"
436538,"31-05-2018 00:00:00","30-06-2020 00:00:00"
441887,"31-01-2015 00:00:00","31-01-2015 00:00:00"
442927,"31-12-2003 00:00:00","31-08-2009 00:00:00"
445059,"31-12-2004 00:00:00","31-05-2019 00:00:00"
431325,"31-07-2011 00:00:00","28-02-2013 00:00:00"
434223,"29-02-1996 00:00:00","29-02-1996 00:00:00"
436070,"31-01-1994 00:00:00","31-03-1996 00:00:00"
420649,"31-01-1992 00:00:00","31-12-2003 00:00:00"
420868,"31-12-1996 00:00:00","31-03-2024 00:00:00"
464041,"31-01-1982 00:00:00","31-08-1999 00:00:00"
464321,"31-01-1961 00:00:00","30-09-2024 00:00:00"
464434,"31-05-2018 00:00:00","31-05-2018 00:00:00"
542395,"31-05-2010 00:00:00","31-07-2024 00:00:00"
545405,"30-06-1999 00:00:00","31-12-2004 00:00:00"
